inci_id,inci_no,exp_no,complete,fdid,district,station,number,st_prefix,street,st_type,st_suffix,city,state,zip,typecat,inci_type,desc_incitype,resp,dur,fract_4,fract_6,fract_8,fract_12,fract_20,year,month,dow,hour,shift,alarms,app,per,mutl_aid,aid_desc,fatal_fs,inj_fs,fatal_civ,inj_civ,loss_total,det_alert,det_desc,haz_desc,ig_factors_desc,acres_burn,buildings,cause_ign,cause_desc,heat_src,heatsrc_desc,area_org,areaorg_desc,matl_type,matltype_desc,item_type,firstign_desc,sequence,factor,actions_desc,acions,rt2,durhr,cancelled,std_cost,alm_date,alm_time,alm_dttm,arv_date,arv_time,arv_dttm,app_supp,per_supp,app_ems,per_ems,app_rescue,per_rescue,app_other,per_other,prop_loss,cont_loss,haz_rel,clr_date,clr_time,clr_dttm,ctrl_date,ctrl_time,prop_use
_6880OI4KI,21-0004293,0,TRUE,4600,1,1,28,,Peterson,TER,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",505,12:32:34 AM,0,0,0,1,1,2021,12,Friday,9,1,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33,Provide advanced life support (ALS),505,0.5428,0,,12/31/2021,9:43:32 AM,12/31/2021 9:43,12/31/2021,9:51:57 AM,12/31/2021 9:51,0,0,2,5,0,0,0,0,0,0,,12/31/2021,10:16:06 AM,12/31/2021 10:16,,,419
_688026DZL,21-0004292,0,TRUE,4600,1,1,228,,Aviation,AVE,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",804,1:42:47 AM,0,0,0,0,1,2021,12,Thursday,23,3,1,1,2,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32,Provide basic life support (BLS),804,1.7131,0,,12/30/2021,11:09:35 PM,12/30/2021 23:09,12/30/2021,11:22:59 PM,12/30/2021 23:22,0,0,1,2,0,0,0,0,0,0,,12/31/2021,12:52:22 AM,12/31/2021 0:52,,,171
_6880EI256,21-0004291,0,TRUE,4600,1,1,108,,Dorset,ST,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",120,12:13:00 AM,1,1,1,1,1,2021,12,Thursday,22,3,0,2,6,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32,Provide basic life support (BLS),120,0.2167,0,,12/30/2021,10:35:00 PM,12/30/2021 22:35,12/30/2021,10:37:00 PM,12/30/2021 22:37,0,0,2,6,0,0,0,0,0,0,,12/30/2021,10:48:00 PM,12/30/2021 22:48,,,449
_6871BANGY,21-0004290,0,TRUE,4600,1,1,911,,Dorset,ST,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",278,12:25:30 AM,0,1,1,1,1,2021,12,Thursday,20,3,0,2,6,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,278,0.425,0,,12/30/2021,8:20:00 PM,12/30/2021 20:20,12/30/2021,8:24:38 PM,12/30/2021 20:24,0,0,2,6,0,0,0,0,0,0,,12/30/2021,8:45:30 PM,12/30/2021 20:45,,,419
_687151ZN3,21-0004289,0,TRUE,4600,2,2,20,,Karen,DR,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",267,12:30:45 AM,0,1,1,1,1,2021,12,Thursday,16,3,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33,Provide advanced life support (ALS),267,0.5125,0,,12/30/2021,4:58:15 PM,12/30/2021 16:58,12/30/2021,5:02:42 PM,12/30/2021 17:02,0,0,2,5,0,0,0,0,0,0,,12/30/2021,5:29:00 PM,12/30/2021 17:29,,,519
_6871AI1YN,21-0004288,0,TRUE,4600,1,1,102,,Dorset,ST,,South Burlington,VT,5403,3,322,Motor vehicle accident with injuries,371,12:29:36 AM,0,0,1,1,1,2021,12,Thursday,16,3,0,1,4,16,Other Aid Received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32,Provide basic life support (BLS),371,0.4933,0,,12/30/2021,4:49:00 PM,12/30/2021 16:49,12/30/2021,4:55:11 PM,12/30/2021 16:55,0,0,1,4,0,0,0,0,0,0,,12/30/2021,5:18:36 PM,12/30/2021 17:18,,,549
_68714ITEA,21-0004287,0,TRUE,4600,2,2,1200,,Shelburne,RD,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",109,12:31:56 AM,1,1,1,1,1,2021,12,Thursday,15,3,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33,Provide advanced life support (ALS),109,0.5322,0,,12/30/2021,3:57:23 PM,12/30/2021 15:57,12/30/2021,3:59:12 PM,12/30/2021 15:59,0,0,2,5,0,0,0,0,0,0,,12/30/2021,4:29:19 PM,12/30/2021 16:29,,,449
_68719US2A,21-0004286,0,TRUE,4600,1,1,465,,Quarry Hill,RD,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",293,12:30:30 AM,0,1,1,1,1,2021,12,Thursday,14,3,0,2,6,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32,Provide basic life support (BLS),293,0.5083,0,,12/30/2021,2:53:00 PM,12/30/2021 14:53,12/30/2021,2:57:53 PM,12/30/2021 14:57,0,0,2,6,0,0,0,0,0,0,,12/30/2021,3:23:30 PM,12/30/2021 15:23,,,429
_6871912DF,21-0004285,0,TRUE,4600,1,1,1636,,Williston,RD,,South Burlington,VT,5403,4,412,Gas leak (natural gas or LPG),443,12:19:45 AM,0,0,1,1,1,2021,12,Thursday,14,3,1,0,0,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,40,"Hazardous condition, Other",443,0.3292,0,,12/30/2021,2:29:00 PM,12/30/2021 14:29,12/30/2021,2:36:23 PM,12/30/2021 14:36,0,0,0,0,0,0,3,9,0,0,,12/30/2021,2:48:45 PM,12/30/2021 14:48,,,519
_687139G92,21-0004284,0,TRUE,4600,1,1,160,,Hinesburg,RD,,South Burlington,VT,5403,3,322,Motor vehicle accident with injuries,354,12:28:27 AM,0,1,1,1,1,2021,12,Thursday,12,3,0,2,6,16,Other Aid Received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,354,0.4742,0,,12/30/2021,12:19:00 PM,12/30/2021 12:19,12/30/2021,12:24:54 PM,12/30/2021 12:24,0,0,2,6,0,0,0,0,0,0,,12/30/2021,12:47:27 PM,12/30/2021 12:47,,,131
_68712HR5Q,21-0004283,0,TRUE,4600,1,1,7,,Aspen,DR,,South Burlington,VT,5403,6,622,No Incident found on arrival at dispatch address,165,12:08:37 AM,1,1,1,1,1,2021,12,Thursday,11,2,0,0,0,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,60,"Systems and services, Other",165,0.1436,0,,12/30/2021,11:45:00 AM,12/30/2021 11:45,12/30/2021,11:47:45 AM,12/30/2021 11:47,0,0,0,0,0,0,2,6,0,0,,12/30/2021,11:53:37 AM,12/30/2021 11:53,,,429
_6870KRI03,21-0004282,0,TRUE,4600,2,1,251,,Preserve,RD,,South Burlington,VT,5403,7,735,Alarm system sounded due to malfunction,346,12:15:02 AM,0,1,1,1,1,2021,12,Thursday,8,3,0,0,0,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,63,Restore fire alarm system,346,0.2506,0,,12/30/2021,8:57:07 AM,12/30/2021 8:57,12/30/2021,9:02:53 AM,12/30/2021 9:02,0,0,0,0,0,0,2,7,0,0,,12/30/2021,9:12:09 AM,12/30/2021 9:12,,,419
_6870F34IX,21-0004281,0,TRUE,4600,1,1,1954,,Williston,RD,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",360,12:24:00 AM,0,1,1,1,1,2021,12,Thursday,4,2,0,1,3,1,Mutual aid received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33,Provide advanced life support (ALS),360,0.4,0,,12/30/2021,4:30:00 AM,12/30/2021 4:30,12/30/2021,4:36:00 AM,12/30/2021 4:36,0,0,1,3,0,0,0,0,0,0,,12/30/2021,4:54:00 AM,12/30/2021 4:54,,,419
_6870ES5V5,21-0004280,0,TRUE,4600,1,1,1200,,Airport,DR,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",360,12:45:00 AM,0,0,1,1,1,2021,12,Thursday,4,2,0,1,1,16,Other Aid Received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32,Provide basic life support (BLS),360,0.75,0,,12/30/2021,4:23:00 AM,12/30/2021 4:23,12/30/2021,4:29:00 AM,12/30/2021 4:29,0,0,1,1,0,0,0,0,0,0,,12/30/2021,5:08:00 AM,12/30/2021 5:08,,,170
_6870AX8A5,21-0004279,0,TRUE,4600,2,2,347,,Farrell,ST,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",420,12:49:00 AM,0,0,1,1,1,2021,12,Thursday,3,2,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,420,0.8167,0,,12/30/2021,3:44:00 AM,12/30/2021 3:44,12/30/2021,3:51:00 AM,12/30/2021 3:51,0,0,2,5,0,0,0,0,0,0,,12/30/2021,4:33:00 AM,12/30/2021 4:33,,,429
_6870EKHK4,21-0004278,0,TRUE,4600,1,1,353,,Patchen,RD,,South Burlington,VT,5403,6,600,"Good intent call, Other",480,12:22:00 AM,0,0,1,1,1,2021,12,Thursday,0,2,0,1,3,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,480,0.3667,0,,12/30/2021,12:50:00 AM,12/30/2021 0:50,12/30/2021,12:58:00 AM,12/30/2021 0:58,0,0,1,3,0,0,1,2,0,0,,12/30/2021,1:12:00 AM,12/30/2021 1:12,,,429
_68619O8PT,21-0004277,0,TRUE,4600,1,1,5,,Aspen,DR,,South Burlington,VT,5403,5,554,Assist invalid,215,12:11:15 AM,1,1,1,1,1,2021,12,Wednesday,20,2,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31,Provide first aid & check for injuries,215,0.1875,0,,12/29/2021,8:44:15 PM,12/29/2021 20:44,12/29/2021,8:47:50 PM,12/29/2021 20:47,0,0,2,5,0,0,0,0,0,0,,12/29/2021,8:55:30 PM,12/29/2021 20:55,,,400
_68616ZM8S,21-0004276,0,TRUE,4600,1,1,5,,Peterson,TER,,South Burlington,VT,5403,7,700,"False alarm or false call, Other",452,12:08:56 AM,0,0,1,1,1,2021,12,Wednesday,19,2,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,452,0.1489,0,,12/29/2021,7:39:37 PM,12/29/2021 19:39,12/29/2021,7:47:09 PM,12/29/2021 19:47,0,0,2,5,0,0,0,0,0,0,,12/29/2021,7:48:33 PM,12/29/2021 19:48,,,419
_68616VKI3,21-0004275,0,TRUE,4600,2,1,4,,Laurel Hill,DR,,South Burlington,VT,5403,5,551,Assist police or other governmental agency,576,12:29:27 AM,0,0,0,1,1,2021,12,Wednesday,15,2,0,1,3,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,74,Provide apparatus,576,0.4908,0,,12/29/2021,3:34:25 PM,12/29/2021 15:34,12/29/2021,3:44:01 PM,12/29/2021 15:44,1,3,0,0,0,0,0,0,0,0,,12/29/2021,4:03:52 PM,12/29/2021 16:03,,,599
_68614YCGM,21-0004274,0,TRUE,4600,1,2,240,,Swift,ST,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",240,12:16:00 AM,1,1,1,1,1,2021,12,Wednesday,15,2,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32,Provide basic life support (BLS),240,0.2667,0,,12/29/2021,3:17:00 PM,12/29/2021 15:17,12/29/2021,3:21:00 PM,12/29/2021 15:21,0,0,2,5,0,0,0,0,0,0,,12/29/2021,3:33:00 PM,12/29/2021 15:33,,,965
_6860UKJZH,21-0004273,0,TRUE,4600,1,2,155,,Dorset,ST,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",1080,12:18:00 AM,0,0,0,0,1,2021,12,Wednesday,12,2,0,1,3,16,Other Aid Received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32,Provide basic life support (BLS),1080,0.3,0,,12/29/2021,12:46:00 PM,12/29/2021 12:46,12/29/2021,1:04:00 PM,12/29/2021 13:04,0,0,1,3,0,0,0,0,0,0,,12/29/2021,1:04:00 PM,12/29/2021 13:04,,,5802
_68615YGAE,21-0004272,0,TRUE,4600,7,1,378,,Lime Kiln,RD,,South Burlington,VT,5403,6,651,"Smoke scare, odor of smoke",525,12:16:21 AM,0,0,0,1,1,2021,12,Wednesday,12,2,1,3,8,2,Automatic aid receiv,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,525,0.2725,0,,12/29/2021,12:40:51 PM,12/29/2021 12:40,12/29/2021,12:49:36 PM,12/29/2021 12:49,3,8,0,0,0,0,0,0,0,0,,12/29/2021,12:57:12 PM,12/29/2021 12:57,,,429
_68615T3BG,21-0004271,0,TRUE,4600,2,1,90,,South,ST,,South Burlington,VT,5403,5,554,Assist invalid,718,12:24:24 AM,0,0,0,1,1,2021,12,Wednesday,11,2,0,1,3,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31,Provide first aid & check for injuries,718,0.4067,0,,12/29/2021,11:17:05 AM,12/29/2021 11:17,12/29/2021,11:29:03 AM,12/29/2021 11:29,0,0,1,3,0,0,0,0,0,0,,12/29/2021,11:41:29 AM,12/29/2021 11:41,,,419
_6860TMBT0,21-0004270,0,TRUE,4600,1,2,217,,Dorset,ST,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",180,12:36:00 AM,1,1,1,1,1,2021,12,Wednesday,11,2,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,180,0.6,0,,12/29/2021,11:15:00 AM,12/29/2021 11:15,12/29/2021,11:18:00 AM,12/29/2021 11:18,0,0,2,5,0,0,0,0,0,0,,12/29/2021,11:51:00 AM,12/29/2021 11:51,,,519
_68615NAPF,21-0004269,0,TRUE,4600,1,1,861,,Williston,RD,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",433,12:17:14 AM,0,0,1,1,1,2021,12,Wednesday,10,2,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33,Provide advanced life support (ALS),433,0.2872,0,,12/29/2021,10:10:16 AM,12/29/2021 10:10,12/29/2021,10:17:29 AM,12/29/2021 10:17,0,0,2,5,0,0,0,0,0,0,,12/29/2021,10:27:30 AM,12/29/2021 10:27,,,580
_6860F1A0E,21-0004268,0,TRUE,4600,1,1,7,,Aspen,DR,,South Burlington,VT,5403,6,611,Dispatched & cancelled en route,10293469,12:01:00 AM,1,1,1,1,1,2021,12,Wednesday,6,1,0,0,0,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,93,Cancelled en route,,0.0167,1,,12/29/2021,6:27:00 AM,12/29/2021 6:27,,,,0,0,0,0,0,0,2,5,0,0,,12/29/2021,6:28:00 AM,12/29/2021 6:28,,,429
_6860ETN4A,21-0004267,0,TRUE,4600,1,1,1633,,Williston,RD,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",420,12:27:00 AM,0,0,1,1,1,2021,12,Tuesday,22,1,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,30,"Emergency medical services, Other",420,0.45,0,,12/28/2021,10:21:00 PM,12/28/2021 22:21,12/28/2021,10:28:00 PM,12/28/2021 22:28,0,0,2,5,0,0,0,0,0,0,,12/28/2021,10:48:00 PM,12/28/2021 22:48,,,161
_6860FGZET,21-0004266,0,TRUE,4600,1,1,19,,Elizabeth,ST,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",372,12:23:12 AM,0,0,1,1,1,2021,12,Tuesday,19,1,0,2,5,16,Other Aid Received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,372,0.3867,0,,12/28/2021,7:46:00 PM,12/28/2021 19:46,12/28/2021,7:52:12 PM,12/28/2021 19:52,0,0,2,5,0,0,0,0,0,0,,12/28/2021,8:09:12 PM,12/28/2021 20:09,,,419
_6851ATKTV,21-0004265,0,TRUE,4600,1,1,1510,,Williston,RD,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",310,12:18:01 AM,0,1,1,1,1,2021,12,Tuesday,19,1,0,2,5,16,Other Aid Received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,310,0.3003,0,,12/28/2021,7:16:00 PM,12/28/2021 19:16,12/28/2021,7:21:10 PM,12/28/2021 19:21,0,0,2,5,0,0,0,0,0,0,,12/28/2021,7:34:01 PM,12/28/2021 19:34,,,429
_68M0Y5ZJ9,21-0004264,0,TRUE,4600,1,1,1200,,Airport,DR,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",660,12:30:38 AM,0,0,0,1,1,2021,12,Tuesday,17,1,0,1,3,1,Mutual aid received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,660,0.5106,0,,12/28/2021,5:30:00 PM,12/28/2021 17:30,12/28/2021,5:41:00 PM,12/28/2021 17:41,0,0,1,3,0,0,0,0,0,0,,12/28/2021,6:00:38 PM,12/28/2021 18:00,,,171
_6851840IL,21-0004263,0,TRUE,4600,1,1,159,,Hayes,AVE,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",300,12:23:00 AM,0,1,1,1,1,2021,12,Tuesday,16,1,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,30,"Emergency medical services, Other",300,0.3833,0,,12/28/2021,4:39:00 PM,12/28/2021 16:39,12/28/2021,4:44:00 PM,12/28/2021 16:44,0,0,2,5,0,0,0,0,0,0,,12/28/2021,5:02:00 PM,12/28/2021 17:02,,,419
_68519INDM,21-0004262,0,TRUE,4600,2,2,99,,Proctor,AVE,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",409,12:18:50 AM,0,0,1,1,1,2021,12,Tuesday,15,1,0,3,8,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,409,0.3139,0,,12/28/2021,3:20:00 PM,12/28/2021 15:20,12/28/2021,3:26:49 PM,12/28/2021 15:26,0,0,3,8,0,0,0,0,0,0,,12/28/2021,3:38:50 PM,12/28/2021 15:38,,,900
_6850YDGMR,21-0004261,0,TRUE,4600,1,3,192,,Tilley,DR,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",524,12:18:36 AM,0,0,0,1,1,2021,12,Tuesday,13,1,0,1,3,1,Mutual aid received,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,524,0.31,0,,12/28/2021,1:54:00 PM,12/28/2021 13:54,12/28/2021,2:02:44 PM,12/28/2021 14:02,0,0,1,3,0,0,0,0,0,0,,12/28/2021,2:12:36 PM,12/28/2021 14:12,,,500
_6850VESBW,21-0004260,0,TRUE,4600,1,1,181,,Crispin,DR,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",360,12:23:00 AM,0,1,1,1,1,2021,12,Tuesday,13,1,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,30,"Emergency medical services, Other",360,0.3833,0,,12/28/2021,1:27:00 PM,12/28/2021 13:27,12/28/2021,1:33:00 PM,12/28/2021 13:33,0,0,2,5,0,0,0,0,0,0,,12/28/2021,1:50:00 PM,12/28/2021 13:50,,,419
_6850RN3ST,21-0004259,0,TRUE,4600,2,2,935,,Shelburne,RD,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",130,12:19:55 AM,1,1,1,1,1,2021,12,Tuesday,11,1,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,130,0.3319,0,,12/28/2021,11:44:00 AM,12/28/2021 11:44,12/28/2021,11:46:10 AM,12/28/2021 11:46,0,0,2,5,0,0,0,0,0,0,,12/28/2021,12:03:55 PM,12/28/2021 12:03,,,1
_6850QPOTE,21-0004258,0,TRUE,4600,1,3,192,,Tilley,DR,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",393,12:24:01 AM,0,0,1,1,1,2021,12,Tuesday,10,1,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,81,Incident command,393,0.4003,0,,12/28/2021,10:41:00 AM,12/28/2021 10:41,12/28/2021,10:47:33 AM,12/28/2021 10:47,0,0,2,5,0,0,0,0,0,0,,12/28/2021,11:05:01 AM,12/28/2021 11:05,,,500
_6841F1MB6,21-0004257,0,TRUE,4600,1,1,99,,Village Green,DR,,South Burlington,VT,5403,3,321,"EMS call, excluding vehicle accident with injury",435,12:19:39 AM,0,0,1,1,1,2021,12,Monday,23,3,0,2,5,N,None,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32,Provide basic life support (BLS),435,0.3275,0,,12/27/2021,11:18:13 PM,12/27/2021 23:18,12/27/2021,11:25:28 PM,12/27/2021 23:25,0,0,2,5,0,0,0,0,0,0,,12/27/2021,11:37:52 PM,12/27/2021 23:37,,,429
